"from","to","vessels","xx","yx","xy","yy"
"Mainland Mooring 50","Mainland Mooring 65",1,175.484314823333,-36.3264657695333,174.829097479333,-36.4237396672
"Mainland Mooring 50","Mainland MR 23",1,175.484314823333,-36.3264657695333,175.791613051,-36.819740851
"Mainland Mooring 50","Mainland Mussels 22",1,175.484314823333,-36.3264657695333,175.467452382667,-36.5142802588667
"Mainland Mooring 50","Mainland Mussels 29",3,175.484314823333,-36.3264657695333,175.341963074222,-36.1619629048222
"Mainland Mooring 50","Mainland Mussels 54",1,175.484314823333,-36.3264657695333,175.16964666,-36.8061142425
"Mainland Mooring 50","Mainland Mussels 58",1,175.484314823333,-36.3264657695333,174.745251841,-36.3965387897
"Mainland Mooring 50","Mainland Oysters 16",3,175.484314823333,-36.3264657695333,175.169953813,-36.8029395727
"Mainland Mooring 50","Mainland Oysters 19",1,175.484314823333,-36.3264657695333,175.696102545,-36.8222867555
"Mainland Mooring 50","Mainland Oysters 23",1,175.484314823333,-36.3264657695333,174.459996629,-35.817853824
"Mainland Mooring 50","Moana",1,175.484314823333,-36.3264657695333,174.83404,-36.930539
"Mainland Mooring 50","Sanford",2,175.484314823333,-36.3264657695333,170.497812,-45.887513
"Mainland Mooring 50","Smokehouse Bay",11,175.484314823333,-36.3264657695333,175.3353,-36.2057
"Mainland Mooring 51","Mainland Aquaculture 4",1,175.394999821667,-36.2618971699,175.451390291,-36.7329484605
"Mainland Mooring 51","Mainland CHS 10",1,175.394999821667,-36.2618971699,175.525633969,-37.1689870719333
"Mainland Mooring 51","Mainland Island 75",1,175.394999821667,-36.2618971699,174.889879607,-36.6008138366
"Mainland Mooring 51","Mainland Island 80",1,175.394999821667,-36.2618971699,175.4070954425,-36.039032408725
"Mainland Mooring 51","Mainland Marina 14",2,175.394999821667,-36.2618971699,176.18072485,-37.66724799505
"Mainland Mooring 51","Mainland Marina 5",2,175.394999821667,-36.2618971699,174.7357559835,-36.39353752665
"Mainland Mooring 51","Mainland Marina 6",6,175.394999821667,-36.2618971699,174.788355122,-36.620952782
"Mainland Mooring 51","Mainland Marina 9",26,175.394999821667,-36.2618971699,174.7806808478,-36.84457156828
"Mainland Mooring 51","Mainland Mooring 25",1,175.394999821667,-36.2618971699,175.434166988,-36.8246320442
"Mainland Mooring 51","Mainland Mooring 26",1,175.394999821667,-36.2618971699,175.47579357175,-36.764238297875
"Mainland Mooring 51","Mainland Mooring 28",4,175.394999821667,-36.2618971699,175.772892556,-36.6005389888
"Mainland Mooring 51","Mainland Mooring 29",1,175.394999821667,-36.2618971699,175.814958883,-36.7608098067
"Mainland Mooring 51","Mainland Mooring 32",1,175.394999821667,-36.2618971699,175.876411192,-37.196956871
"Mainland Mooring 51","Mainland Mooring 35",1,175.394999821667,-36.2618971699,174.115811762778,-35.2454224835259
"Mainland Mooring 51","Mainland Mooring 36",2,175.394999821667,-36.2618971699,174.234434919178,-35.2312827907832
"Mainland Mooring 51","Mainland Mooring 42",2,175.394999821667,-36.2618971699,174.5217148356,-35.83060401092
"Mainland Mooring 51","Mainland Mooring 50",11,175.394999821667,-36.2618971699,175.484314823333,-36.3264657695333
"Mainland Mooring 51","Mainland Mooring 52",18,175.394999821667,-36.2618971699,175.3452219984,-36.16394118716
"Mainland Mooring 51","Mainland Mooring 57",1,175.394999821667,-36.2618971699,175.169568132,-36.9355424265
"Mainland Mooring 51","Mainland Mooring 58",1,175.394999821667,-36.2618971699,174.984934641667,-36.7547664897667
"Mainland Mooring 51","Mainland Mooring 59",3,175.394999821667,-36.2618971699,175.0339161016,-36.82694775294
"Mainland Mooring 51","Mainland Mooring 60",2,175.394999821667,-36.2618971699,175.054278319,-36.7799339133
"Mainland Mooring 51","Mainland Mooring 62",2,175.394999821667,-36.2618971699,174.9063578104,-36.88621788714
"Mainland Mooring 51","Mainland Mooring 64",7,175.394999821667,-36.2618971699,174.799140037429,-36.8335831537
"Mainland Mooring 51","Mainland Mooring 65",1,175.394999821667,-36.2618971699,174.829097479333,-36.4237396672
"Mainland Mooring 51","Mainland MR 19",1,175.394999821667,-36.2618971699,174.393337915,-35.7931840023
