"from","to","vessels","xx","yx","xy","yy"
"Mainland Island 14","Mainland Mooring 50",1,174.732904555397,-35.8887008695667,175.484314823333,-36.3264657695333
"Mainland Island 14","Mainland Mooring 52",1,174.732904555397,-35.8887008695667,175.3452219984,-36.16394118716
"Mainland Island 14","Mainland MR 19",1,174.732904555397,-35.8887008695667,174.393337915,-35.7931840023
"Mainland Island 14","Mainland Mussels 29",1,174.732904555397,-35.8887008695667,175.341963074222,-36.1619629048222
"Mainland Island 14","Mainland Oysters 16",1,174.732904555397,-35.8887008695667,175.169953813,-36.8029395727
"Mainland Island 14","Mainland Oysters 23",2,174.732904555397,-35.8887008695667,174.459996629,-35.817853824
"Mainland Island 19","Mainland Island 22",1,167.756499166,-47.1883169505,168.231924518,-47.0097604917
"Mainland Island 21","Mainland Beach 45",1,168.19927477115,-47.113961624585,168.184381983,-47.0747598284
"Mainland Island 22","Mainland CHS 121",1,168.231924518,-47.0097604917,168.231924518,-47.0422701208
"Mainland Island 22","Mainland Salmon 10",1,168.231924518,-47.0097604917,168.338361928195,-46.5965250210953
"Mainland Island 3","Mainland Mooring 18",1,167.6478175542,-47.2194513409133,168.149243514,-46.8855837933
"Mainland Island 36","Mainland Marina 9",1,166.6272495705,-45.78038756455,174.7806808478,-36.84457156828
"Mainland Island 36","Mainland Mooring 87",1,166.6272495705,-45.78038756455,170.601279825111,-45.8426899575242
"Mainland Island 41","Mainland CHS 77",1,173.105018314,-43.6957734894,171.274646771,-44.3954634437
"Mainland Island 5","Mainland Marina 19",1,174.141021373,-40.881767167,174.0202281785,-41.2646804315
"Mainland Island 50","Mainland Marina 19",1,173.984571277,-40.6700874412,174.0202281785,-41.2646804315
"Mainland Island 54","Mainland Beach 10",1,178.344879643286,-38.3769742580143,175.791444444,-36.6934444444
"Mainland Island 54","Mainland CHS 19",1,178.344879643286,-38.3769742580143,177.992973811,-37.5696990508
"Mainland Island 54","Mainland CHS 21",1,178.344879643286,-38.3769742580143,178.305217865,-38.3748802593
"Mainland Island 54","Mainland Marina 14",1,178.344879643286,-38.3769742580143,176.18072485,-37.66724799505
"Mainland Island 54","Mainland Marina 16",1,178.344879643286,-38.3769742580143,176.892343211,-39.4832270598
"Mainland Island 54","Mainland Mooring 49",1,178.344879643286,-38.3769742580143,174.8046800095,-36.30038057365
"Mainland Island 55","Mainland Marina 15",1,178.358484516,-38.2379752688,178.025686769,-38.6865385205
"Mainland Island 56","Waiaka Bay",1,178.3814702115,-38.0594964574,178.158374909902,-37.5429904189488
"Mainland Island 58","Mainland Marina 14",1,178.572425924,-37.6733241957,176.18072485,-37.66724799505
"Mainland Island 59","Mainland Mooring 11",1,176.897982179,-37.836344065025,177.02729353,-37.937372686
"Mainland Island 63","Mainland Beach 61",1,175.91971452925,-37.086042272775,175.886006494,-37.0921961669
"Mainland Island 63","Mainland Beach 69",2,175.91971452925,-37.086042272775,175.862501418,-36.8754822539
"Mainland Island 63","Mainland Marina 12",1,175.91971452925,-37.086042272775,175.860119601,-37.0004760284
"Mainland Island 63","Mainland Marina 14",7,175.91971452925,-37.086042272775,176.18072485,-37.66724799505
