from,to,fromnID,tonID,vessels,Perc_tot,xx,yx,xy,yy
Mainland Mooring 30,Mainland Island 74,1110,1566,1,0.008832362,175.7147573,-36.82193521,175.5515877,-36.59267813
Mainland Mooring 28,Mainland Island 74,1108,1566,4,0.035329447,175.7728926,-36.60053899,175.5515877,-36.59267813
Mainland Mooring 52,Mainland Island 75,1132,1567,4,0.035329447,175.345222,-36.16394119,174.8898796,-36.60081384
Mainland CHS 63,Mainland Island 75,1287,1567,1,0.008832362,175.4310681,-36.10812881,174.8898796,-36.60081384
Mainland Salmon 12,Mainland Island 75,1676,1567,6,0.052994171,174.8178135,-36.41716521,174.8898796,-36.60081384
Mainland CHS 64,Mainland Island 75,1288,1567,1,0.008832362,175.477856,-36.2195626,174.8898796,-36.60081384
Mainland Mooring 65,Mainland Island 75,1145,1567,12,0.105988341,174.8290975,-36.42373967,174.8898796,-36.60081384
Mainland Oysters 6,Mainland Island 75,1604,1567,1,0.008832362,175.4885472,-36.76035763,174.8898796,-36.60081384
Mainland Mooring 62,Mainland Island 75,1142,1567,1,0.008832362,174.9063578,-36.88621789,174.8898796,-36.60081384
Mainland Mooring 58,Mainland Island 75,1138,1567,9,0.079491256,174.9849346,-36.75476649,174.8898796,-36.60081384
Mainland Marina 9,Mainland Island 75,1061,1567,5,0.044161809,174.7806808,-36.84457157,174.8898796,-36.60081384
Mainland Marina 7,Mainland Island 75,1059,1567,1,0.008832362,174.7690231,-36.74168089,174.8898796,-36.60081384
Mainland Mooring 54,Mainland Island 75,1134,1567,1,0.008832362,174.7262661,-36.49824124,174.8898796,-36.60081384
